Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees),Fees,Notes
2017-07-25T23:45:10Z,Buy,BTC,0.15054504,GBP,1992.76,300.00,311.97,11.97,Bought 0.15054504 BTC for Â£311.97 GBP
2017-07-26T13:12:32Z,Send,BTC,0.04800883,GBP,1923.64,"","","",Sent 0.04800883 BTC to 39QNb134GTGv1wS4AEo1EDFxMRgQgHD7K6
2017-08-02T21:04:15Z,Send,BTC,0.04570344,GBP,2034.15,"","","",Sent 0.04570344 BTC to 3NBA8cpA7s9iptmJWMFM4La1Bmg9pmXYts
2017-08-03T21:46:31Z,Send,BTC,0.04433589,GBP,2114.43,"","","",Sent 0.04433589 BTC to 34UrCBPuzjykPSUsqQVG9NjwKmAcnW6WUX
2017-08-08T21:48:07Z,Buy,BTC,0.07510472,GBP,2662.95,200.00,207.98,7.98,Bought 0.07510472 BTC for Â£207.98 GBP
2017-08-08T21:58:21Z,Send,BTC,0.05340582,GBP,2641.70,"","","",Sent 0.05340582 BTC to 3FfK55AnSoVhyf3xgNL5zedaaP7bNQHRCg
2017-08-12T09:10:26Z,Send,BTC,0.03269402,GBP,2911.47,"","","",Sent 0.03269402 BTC to 34KBMukXR37xpXwNpVuyyy92N2iawADakS
2017-08-16T21:30:54Z,Buy,BTC,0.002305,GBP,3355.37,7.73,7.73,0.00,Bought 0.002305 BTC for Â£7.73 GBP
2017-08-21T10:41:47Z,Buy,BTC,0.04374931,GBP,3200.05,140.00,145.59,5.59,Bought 0.04374931 BTC for Â£145.59 GBP
2017-08-21T20:53:45Z,Send,BTC,0.01599603,GBP,3099.74,"","","",Sent 0.01599603 BTC to 3LCUKMXKeWqcSCSCjumdHbF6VVQcGF2xtY
2017-08-22T19:00:29Z,Send,BTC,0.03037058,GBP,3209.39,"","","",Sent 0.03037058 BTC to 3L1wdBW4N3Hx3FnbJG7jY6wH8uTVnZxKL3
2017-08-26T17:40:15Z,Buy,BTC,0.08886637,GBP,3375.86,300.00,311.97,11.97,Bought 0.08886637 BTC for Â£311.97 GBP
